,name,version,run_id,Mean Accuracy,ROC-AUC,Recall Class 0,Recall Class 1,Accuracy Class 0,Accuracy Class 1
50,prod.Phantom Muspah,1,f157ce698a6144abafba4bf542650957,0.9289999999999999,0.9213940951545164,0.9474393530997305,0.8953488372093024,0.934,0.934
55,prod.Runecraft,1,c019ee5eb9ee497abaebaa2959edcdd8,0.9339999999999999,0.9195469873103204,0.9450261780104712,0.8940677966101694,0.933,0.933
1,prod.Artio,1,2ecb8a0db4524552aafb9b4e233fb516,0.9279999999999999,0.9187232978820107,0.9339378238341969,0.9035087719298246,0.927,0.927
21,prod.Corporeal Beast,1,15be28d818e34e6ea58d888e2c5fc9bc,0.924,0.9153444038808471,0.9296987087517934,0.900990099009901,0.921,0.921
73,prod.Zulrah,1,7d143c283d5249d38db2839572a90cf7,0.9119999999999999,0.9115173778361634,0.9587813620071685,0.8642533936651584,0.917,0.917
7,prod.Calvarion,1,ec4de67aedb04bbc9a0b348d90687a49,0.9349999999999999,0.8972222222222223,0.9444444444444444,0.85,0.935,0.935
12,prod.Clue Scrolls (all),1,c66a4c238bbb4fae91af8b7704d0f66e,0.906,0.8947368421052632,0.9094736842105263,0.88,0.908,0.908
17,prod.Clue Scrolls (medium),1,d54ef88e89f54a2ab2e48296ecef9cb0,0.9099999999999999,0.8888962775782832,0.9147788565264293,0.863013698630137,0.911,0.911
61,prod.Spindel,1,bc43676e9f164bbe8b11461abd7598de,0.917,0.8843696916046605,0.9320046893317703,0.8367346938775511,0.918,0.918
62,prod.Strength,1,606efc9425d14d5d84d31bc1e0a8bcbc,0.8859999999999999,0.8839958979308681,0.8884297520661157,0.8795620437956204,0.886,0.886
51,prod.Phosanis Nightmare,1,baf508df72bd477eafbf9c13e2ff5441,0.8859999999999999,0.8832501992386455,0.918625678119349,0.8478747203579419,0.887,0.887
53,prod.Ranged,1,2188279ab921429ab1edc056e0c8749a,0.885,0.877231994689678,0.9022900763358779,0.8521739130434782,0.885,0.885
71,prod.Woodcutting,1,67b4f9e5cab14097910b4362e5d52532,0.931,0.8727944944725089,0.935244161358811,0.8103448275862069,0.928,0.928
69,prod.Vorkath,1,056c62aacedf4a9cb39c22f1e2e65eca,0.8699999999999999,0.8701278772378517,0.8776470588235294,0.8626086956521739,0.869,0.869
38,prod.Hitpoints,1,95b78d041501413da42233dc1167f842,0.876,0.8657629475147723,0.8934306569343066,0.8380952380952381,0.876,0.876
49,prod.Overall,1,827573cf39f2433788ac4a5d1a4fa7f3,0.9,0.8644802910490393,0.9061757719714965,0.8227848101265823,0.893,0.893
2,prod.Attack,1,196f34a00f46459d8d54a319bfbe8762,0.874,0.8641863727059009,0.8844011142061281,0.8439716312056738,0.873,0.873
27,prod.Defence,1,64ee6846bc164aa59df0bdd05402f60b,0.907,0.8628746706192358,0.9605978260869565,0.7651515151515151,0.909,0.909
47,prod.Nex,1,87a680b959b1483d9f3a87e19d794db7,0.9030000000000001,0.862120923740642,0.92018779342723,0.8040540540540541,0.903,0.903
64,prod.Theatre of Blood,1,f04de6a613d946e3b65a4d7951258a6f,0.877,0.8582788186000846,0.8815060908084164,0.8350515463917526,0.877,0.877
68,prod.Vetion,1,85e9dca781f44c6294a059bdaa7bda04,0.899,0.8570777522390425,0.9238329238329238,0.7903225806451613,0.899,0.899
6,prod.Callisto,1,8f3c1fa0a62c4ace88eb9868d0017f36,0.89,0.8491179235854573,0.9094159713945172,0.7888198757763976,0.89,0.89
44,prod.Magic,1,e1e7b7978e5c4a0cb969b75258181d86,0.8800000000000001,0.8490077653149266,0.8947368421052632,0.8032786885245902,0.878,0.878
32,prod.Fishing,1,e047dfbe81914771982e2e8fa5ca25fe,0.899,0.8478852728884387,0.912751677852349,0.7830188679245284,0.899,0.899
8,prod.Chambers of Xeric,1,f7528e88c4a54e2cb8df038cdb882ece,0.9099999999999999,0.8454832734008936,0.9290617848970252,0.7619047619047619,0.908,0.908
66,prod.Thieving,1,ca3a75e511034a4d8ae81e4cca0677b7,0.9020000000000001,0.8428757319453482,0.9310344827586207,0.7547169811320755,0.903,0.903
60,prod.Soul Wars Zeal,1,dd9ecc0ff16a4764a64aa3d351cf5bed,0.853,0.8416666666666667,0.8933333333333333,0.79,0.852,0.852
3,prod.Barrows Chests,1,b20be16e4e4249229dd6b56b26fbe4f2,0.942,0.8402509652509653,0.9662162162162162,0.7142857142857143,0.938,0.938
46,prod.Mining,1,297941a1dd224c59a97fa93e28eb1c84,0.913,0.8397577092511013,0.9295154185022027,0.75,0.913,0.913
54,prod.Rifts closed,1,59e0e454703f4b65bbce488b2fbb99bf,0.8629999999999999,0.8393419026578295,0.8838120104438643,0.7948717948717948,0.863,0.863
41,prod.King Black Dragon,1,4b1232f5181e435db67a1dee472688a8,0.913,0.8382877408300293,0.9218585005279831,0.7547169811320755,0.913,0.913
72,prod.Zalcano,1,eb549f9f65684131bc21fe1d2992f547,0.873,0.8333673707550473,0.8923444976076556,0.774390243902439,0.873,0.873
